timestamp,shadow_condition,match_id,round,agent1,agent2,agent1_move,agent2_move,agent1_total_score,agent2_total_score,agent1_reasoning,agent2_reasoning
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,1,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,2,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,3,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,4,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,5,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,6,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,7,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,8,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,9,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,10,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_GrimTrigger_p5i1,11,TitForTat_p5i1,GrimTrigger_p5i1,C,C,33,33,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,1,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,2,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,3,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,4,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,5,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,6,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,7,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,8,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,9,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,10,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,11,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,12,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,13,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,14,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,15,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,16,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,17,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,18,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,19,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,20,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,21,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,22,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
2025-08-25T01:49:06.767873,0.1,TitForTat_p5i1_vs_WinStayLoseShift_p5i1,23,TitForTat_p5i1,WinStayLoseShift_p5i1,C,C,102,102,,
