timestamp,shadow_condition,match_id,round,agent1,agent2,agent1_move,agent2_move,agent1_total_score,agent2_total_score,agent1_reasoning,agent2_reasoning
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_GrimTrigger_p2i1,1,TitForTat_p2i1,GrimTrigger_p2i1,C,C,3,3,,
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_WinStayLoseShift_p2i1,1,TitForTat_p2i1,WinStayLoseShift_p2i1,C,C,6,6,,
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_WinStayLoseShift_p2i1,2,TitForTat_p2i1,WinStayLoseShift_p2i1,C,C,6,6,,
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_GenerousTitForTat_p2i1,1,TitForTat_p2i1,GenerousTitForTat_p2i1,C,C,12,12,,Starting with cooperation.
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_GenerousTitForTat_p2i1,2,TitForTat_p2i1,GenerousTitForTat_p2i1,C,C,12,12,,"Opponent cooperated, so I'm cooperating too."
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_GenerousTitForTat_p2i1,3,TitForTat_p2i1,GenerousTitForTat_p2i1,C,C,12,12,,"Opponent cooperated, so I'm cooperating too."
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_GenerousTitForTat_p2i1,4,TitForTat_p2i1,GenerousTitForTat_p2i1,C,C,12,12,,"Opponent cooperated, so I'm cooperating too."
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_SuspiciousTitForTat_p2i1,1,TitForTat_p2i1,SuspiciousTitForTat_p2i1,C,D,5,5,,Starting with defection (suspicious).
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_SuspiciousTitForTat_p2i1,2,TitForTat_p2i1,SuspiciousTitForTat_p2i1,D,C,5,5,,Copying opponent's last move (C).
2025-08-13T01:53:26.678181,0.25,TitForTat_p2i1_vs_Prober_p2i1,1,TitForTat_p2i1,Prober_p2i1,C,C,3,8,,Starting with cooperation.
